file,rp/Rs,a/Rs,inc,period
tess2019226182529-s0015-0000000198213332-0151-s_tp.fits,0.012226202054190411,4.817229673435124,85.74920397358093,14.99199999999857
tess2021039152502-s0035-0000000090544017-0205-a_fast-tp.fits,0.25839698849134035,51.11173592565591,84.95127886479847,13.194999999998767
tess2019279210107-s0017-0000000229944666-0161-s_tp.fits,0.2482323813135579,48.96358078245108,84.81235150480944,12.52199999999884
tess2018206045859-s0001-0000000033878688-0120-s_tp.fits,0.2543261412014065,51.99671553272835,85.18493653007938,11.35899999999897
tess2021175071901-s0040-0000000377304435-0211-s_tp.fits,0.2512663983718756,49.24016325089994,85.11669767234753,4.753999999999697
tess2023263165758-s0070-0000000306263608-0265-s_tp.fits,0.03225573165566173,6.505322358666762,86.12975291020305,13.07599999999878
tess2024223182411-s0082-0000000092783821-0278-s_tp.fits,0.24782096984715823,48.50292632351117,85.10421532960432,3.8639999999997943
tess2020186164531-s0027-0000000351603103-0189-a_fast-tp.fits,0.25702933043126963,52.17825072654611,84.97975111131781,4.293999999999747
tess2019226182529-s0015-0000000417948359-0151-s_tp.fits,0.23913872712924167,51.64999084406979,84.81950535898058,3.316999999999855
tess2022027120115-s0048-0000000219751469-0219-s_tp.fits,0.011112863473628045,3.6791251877219224,86.01548412982814,11.518999999998952
tess2019198215352-s0014-0000000013684720-0150-s_tp.fits,0.247509080859993,48.85672987122995,85.02224552735473,12.441999999998849
tess2021039152502-s0035-0000000385624852-0205-a_fast-tp.fits,0.05406590797595691,13.87716176971453,86.17542540982134,8.308999999999305
tess2021146024351-s0039-0000000375223080-0210-a_fast-tp.fits,0.24909001158025257,48.9103141345514,84.89535500973274,13.963999999998682
tess2024249191853-s0083-0000000240450679-0280-s_tp.fits,0.05685778675132991,8.430929759667567,83.12798335938801,3.3779999999998487
tess2019198215352-s0014-0000000120757718-0150-s_tp.fits,0.12905357984667482,25.783133274932844,88.12703446554892,12.418999999998853
tess2021146024351-s0039-0000000360630575-0210-s_tp.fits,0.15468970142755398,34.773528441873,84.90901165376425,6.469999999999508
tess2021091135823-s0037-0000000260647166-0208-a_fast-tp.fits,0.2654083935949652,52.94020217601223,85.1645013540087,5.189999999999649
tess2019226182529-s0015-0000000224297258-0151-s_tp.fits,0.2473660809517194,50.683121600857355,85.10994449241429,14.107999999998665
tess2020294194027-s0031-0000000149970589-0198-s_tp.fits,0.24553785601430417,51.22195452164708,84.97014443679755,12.912999999998798
tess2022244194134-s0056-0000000430677414-0243-s_tp.fits,0.0754050955646072,21.16288045374337,86.07719462157351,2.326999999999964
tess2019253231442-s0016-0000000329864959-0152-s_tp.fits,0.048994860766942705,4.913679810993555,82.63998594461572,4.522999999999723
tess2019169103026-s0013-0000000394657039-0146-s_tp.fits,0.08236923724741825,5.1975977996554565,81.63503764119802,3.7629999999998063
tess2021118034608-s0038-0000000193413306-0209-a_fast-tp.fits,0.01869340099273096,8.73799834720764,87.3318040685446,14.708999999998598
tess2021175071901-s0040-0000000237185205-0211-s_tp.fits,0.023125904234345268,47.78772280968853,89.33146148629734,12.759999999998815
tess2019306063752-s0018-0000000441732151-0162-s_tp.fits,0.07953340809808977,6.083976865353419,80.76808445176083,2.098999999999989
tess2019253231442-s0016-0000000311035838-0152-s_tp.fits,0.08517227605463465,5.774982303225061,81.06208621875689,2.9019999999999007
tess2018206045859-s0001-0000000176957796-0120-s_tp.fits,0.25637811326840726,53.12348618729159,84.90176682451582,14.360999999998638
tess2021175071901-s0040-0000000259126549-0211-s_tp.fits,0.06218078694570271,9.883361375056886,86.07734439392621,7.3899999999994055
tess2019198215352-s0014-0000000159107668-0150-s_tp.fits,0.25210313449996113,49.505438459944905,85.14223752980303,10.763999999999035
tess2019226182529-s0015-0000000267561446-0151-s_tp.fits,0.26134312697832696,52.04312503397534,84.9233307062085,10.477999999999067
tess2019198215352-s0014-0000000375542276-0150-s_tp.fits,0.23318781119255774,17.885531148933588,86.19173426201117,14.173999999998658
tess2019198215352-s0014-0000000230127302-0150-s_tp.fits,0.2400010940884952,49.207573642419355,85.09636483836161,8.776999999999253
tess2019198215352-s0014-0000000158170594-0150-s_tp.fits,0.2488919334649181,51.3363754314593,84.92369840679234,13.623999999998718
tess2022244194134-s0056-0000000275501623-0243-s_tp.fits,0.015218492680814476,10.496256104355131,87.58153834482059,14.863999999998583
tess2021175071901-s0040-0000000378159598-0211-s_tp.fits,0.19929686144649117,10.117779834643699,83.59208983972377,6.141999999999544
tess2021118034608-s0038-0000000360630575-0209-a_fast-tp.fits,0.24693812834843187,51.830783330848845,84.85780831535993,12.908999999998798
tess2022217014003-s0055-0000000330468175-0242-s_tp.fits,0.24427564927738446,49.8108324701808,84.8955676819539,14.465999999998626
tess2019140104343-s0012-0000000066818296-0144-s_tp.fits,0.06952990454534201,22.03669425283687,89.1692027656229,11.207999999998986
tess2021091135823-s0037-0000000375223080-0208-a_fast-tp.fits,0.25108925440480495,50.8437053427495,85.0038509964913,13.052999999998782
tess2019253231442-s0016-0000000294471966-0152-s_tp.fits,0.2581422464255829,49.72650099776945,85.16368603908782,10.769999999999033
tess2019198215352-s0014-0000000356311210-0150-s_tp.fits,0.2559918030467756,48.023299405143604,84.9880459483781,10.428999999999071
tess2022273165103-s0057-0000000173207999-0245-s_tp.fits,0.24894146984030258,54.357157135848155,84.90159916458205,13.539999999998729
tess2021175071901-s0040-0000000021755546-0211-s_tp.fits,0.016056723452535455,25.349417991917683,88.62519695308426,6.578999999999496
tess2019226182529-s0015-0000000236445129-0151-s_tp.fits,0.24840118645632558,39.23915868538062,87.58520948265303,13.523999999998729
tess2025127075000-s0092-0000000000395964-0289-s_tp.fits,0.0883282603830065,15.60041477740301,88.28953232186987,2.1679999999999815
tess2019198215352-s0014-0000000138968089-0150-s_tp.fits,0.23271758266107875,24.254207800207595,87.35951043102786,12.088999999998888
tess2021364111932-s0047-0000000258801269-0218-s_tp.fits,0.25653509473314906,51.43804455526346,85.04606703797177,14.272999999998648
tess2022217014003-s0055-0000000299158887-0242-s_tp.fits,0.24484670810212356,51.0958980941975,85.21678169623819,9.437999999999182
tess2021146024351-s0039-0000000295541511-0210-a_fast-tp.fits,0.24507978395804444,52.369290273580475,84.95837224756252,6.766999999999475
tess2020186164531-s0027-0000000080166433-0189-a_fast-tp.fits,0.24885634980986146,50.7107019923535,84.96333330018815,12.097999999998885
tess2024058030222-s0076-0000000276360911-0271-s_tp.fits,0.13216365814999786,35.99469839854075,86.84136620631205,2.5399999999999405
tess2022190063128-s0054-0000000294179385-0227-s_tp.fits,0.16969051526150292,24.788137738201268,87.38829338473991,13.753999999998706
tess2019198215352-s0014-0000000408203470-0150-s_tp.fits,0.25484254116293037,52.84852980579006,85.11659468660343,11.559999999998947
tess2024249191853-s0083-0000000384045439-0280-s_tp.fits,0.04919508583771696,13.03874252294105,85.92008729556441,14.99499999999857
